PixelNo,Wavelength,CCD_1,CCD_2,CCD_3,Calib_1,Calib_2,Calib_3,DarkSub_1,DarkSub_2,DarkSub_3,%T/R_1,%T/R_2,%T/R_3,Ref,Dark,Absorb_1,Absorb_2,Absorb_3,AbsIrrad_1,AbsIrrad_2,AbsIrrad_3
50,1.16E+03,6.07E+02,0.00E+00,0.00E+00,6.07E+02,0.00E+00,0.00E+00,6.07E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
51,1.16E+03,5.89E+02,0.00E+00,0.00E+00,5.89E+02,0.00E+00,0.00E+00,5.89E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
52,1.16E+03,5.54E+02,0.00E+00,0.00E+00,5.54E+02,0.00E+00,0.00E+00,5.54E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
53,1.16E+03,5.34E+02,0.00E+00,0.00E+00,5.34E+02,0.00E+00,0.00E+00,5.34E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
54,1.16E+03,5.13E+02,0.00E+00,0.00E+00,5.13E+02,0.00E+00,0.00E+00,5.13E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
55,1.16E+03,5.05E+02,0.00E+00,0.00E+00,5.05E+02,0.00E+00,0.00E+00,5.05E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
56,1.16E+03,5.24E+02,0.00E+00,0.00E+00,5.24E+02,0.00E+00,0.00E+00,5.24E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
57,1.16E+03,5.12E+02,0.00E+00,0.00E+00,5.12E+02,0.00E+00,0.00E+00,5.12E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
58,1.16E+03,5.36E+02,0.00E+00,0.00E+00,5.36E+02,0.00E+00,0.00E+00,5.36E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
59,1.15E+03,5.95E+02,0.00E+00,0.00E+00,5.95E+02,0.00E+00,0.00E+00,5.95E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
60,1.15E+03,5.36E+02,0.00E+00,0.00E+00,5.36E+02,0.00E+00,0.00E+00,5.36E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
61,1.15E+03,5.36E+02,0.00E+00,0.00E+00,5.36E+02,0.00E+00,0.00E+00,5.36E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
62,1.15E+03,5.62E+02,0.00E+00,0.00E+00,5.62E+02,0.00E+00,0.00E+00,5.62E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
